id,organization_id,context,booking_id,tenant_id,created_by,created_at
a068ccba-6ce3-49d6-944b-200411df5f4c,00000000-0000-0000-0000-000000000001,onboarding,null,77b2e309-ea53-4c9f-acdc-0ed179ba52b2,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-15 11:12:52.847306+00
df51c703-28e8-4b52-a8f8-14f35259fee5,00000000-0000-0000-0000-000000000001,booking,e539d7d2-d820-4b38-91a1-a6971b11b072,6d05955b-c9d1-4f2c-b16e-19571e2ae812,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-21 10:41:56.274261+00
789b23be-9e7c-44e4-b0aa-11f8d3e3541e,00000000-0000-0000-0000-000000000001,onboarding,null,6d05955b-c9d1-4f2c-b16e-19571e2ae812,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-21 10:54:34.309462+00
48f36578-2508-44f1-ace3-2d4ba414a486,00000000-0000-0000-0000-000000000001,onboarding,null,3a7c3cc7-1dd3-4574-993f-a7dae38a5277,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-21 11:33:18.015088+00
c23d5b07-4096-42be-8548-b4bea983080e,00000000-0000-0000-0000-000000000001,booking,3307b426-235b-4385-ad78-af773e1b6ce6,6f580bdd-0e5b-4f02-9bc8-3e2d2ac576b4,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-21 11:43:08.408089+00
8cf31258-61e1-4853-b743-d8dde6b705e2,00000000-0000-0000-0000-000000000001,onboarding,null,21f9320d-9d9a-458d-930b-a7442b24b980,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-21 12:15:46.714139+00
32c108dd-10cb-47b4-8cab-840424f15336,00000000-0000-0000-0000-000000000001,onboarding,null,21f9320d-9d9a-458d-930b-a7442b24b980,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-21 12:29:39.388043+00
d9599d98-9edd-476b-ba69-ebff10372726,00000000-0000-0000-0000-000000000001,onboarding,null,6f580bdd-0e5b-4f02-9bc8-3e2d2ac576b4,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-22 10:52:51.197514+00
e240fafe-011d-42e0-a48f-7a626abeae9b,00000000-0000-0000-0000-000000000001,booking,592a7c03-06e9-4111-b881-3d5ee4a5cfd8,b7f6903f-2c74-40ba-8d14-f1be73c207f1,f6623646-3abe-4faf-bff7-684ea1f04e96,2026-08-24 23:12:43.625089+00
74808fa3-a17b-4ccb-912d-96b3f601650c,00000000-0000-0000-0000-000000000001,onboarding,null,b99bf201-38ba-4991-a146-8590e7c22417,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-25 09:20:07.227939+00
3fc759ae-ed2d-4d24-aeba-b264ccbdc346,00000000-0000-0000-0000-000000000001,onboarding,null,e216b2cb-1f85-4913-afd4-b3997e9834ec,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-25 11:00:37.167897+00
f6c017eb-4daf-4c67-a6b4-c896a450a89f,00000000-0000-0000-0000-000000000001,onboarding,null,f156a416-bc92-416f-8ba1-42b185de39c8,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-25 12:11:05.352528+00
075b7666-8871-416e-89a7-94dd09cbd5ee,00000000-0000-0000-0000-000000000001,onboarding,null,b7f6903f-2c74-40ba-8d14-f1be73c207f1,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-25 12:22:09.85412+00
25598cc8-d77f-465c-ada2-149fd1379da3,00000000-0000-0000-0000-000000000001,onboarding,null,9c6a8c4e-7a2e-41af-8e21-4a4a7a635929,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-29 04:29:12.738417+00
