metric_id,metric_name,business_area,definition,source_tables,source_views,source_functions,date_field,filters,aggregation,grain,reversal_policy,soft_delete_policy,duplicate_policy,historical_coverage,conflict_ids,dq_ids,ai_trust_status,validation_target,notes
M.AR.001D,Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),Financial,"SUM(amount WHERE direction='DEBIT') - SUM(amount WHERE direction='CREDIT') per allotment, filtered to ledger_type IN ('CHARGE','PAYMENT'). TWO sub-variants exist: unclipped (can net negative across the total) and GREATEST(...,0)-floored per allotment.",tenant_transactions,"None (tenant_transactions is a raw table, not a view)",Not determinable from exported evidence -- no trigger references this table (absent from FN.TRG's 55 rows),"date (NOTE: 1 row has a corrupt year, '0206-03-27' -- DQ.023)","ledger_type IN ('CHARGE','PAYMENT')","SUM(signed amount) per allotment_id, unclipped OR floored at 0 (two sub-definitions)","org=organization_id; property=Not carried directly on tenant_transactions; tenant/allotment=tenant_id, allotment_id",NOT APPLICABLE -- this table has no relationship to journal_entries/is_reversal_of at all.,"Not applicable (no is_deleted column; the table is a frozen, one-time bulk load).",Not assessed -- no duplicate-detection mechanism exists for this table.,"date column spans 2019-11-03 to 2026-05-05 nominally, but ALL 16,451 rows were created_at between 2026-04-17 and 2026-04-28 -- an 11-day migration/backfill window, not a live feed. FROZEN since that load (DQ.019).",C.001;C.003;C.005,DQ.002;DQ.019;DQ.023;DQ.037,BLOCK,"H.052 (T164500.151) def2_tenant_transactions column (validated: AR.04a, exact match Rs.9,968,023.32, proving the unclipped-sum mechanism). The floored variant (AR.04b) has no exported reference to compare against (NOT_DETERMINABLE).",One of FOUR competing tenant-balance definitions. BLOCK: catastrophic (~120x) overstatement risk if ever mistakenly surfaced as tenant dues.
M.AR.002,Tenant dues by tenant,Financial,"Same four definitions as M.AR.001A-D, filtered to WHERE tenant_id = <x> (or allotment_id = <x>).",Same as M.AR.001A-D,"F.006, F.007",None,Same as M.AR.001A-D,+ tenant_id or allotment_id filter,"Same, at tenant/allotment grain (this IS the natural grain of all four definitions)","org=organization_id; property=Via tenant_allotments.property_id; tenant/allotment=tenant_id, allotment_id (native grain)",Same four-way treatment as M.AR.001A-D,Same as M.AR.001A-D,Same as M.AR.001A-D,Same as M.AR.001A-D,C.001;C.003;C.005,DQ.002;DQ.019,SHOW_BOTH,Same underlying validation as M.AR.001A-D (AR.01-AR.04c).,
M.AR.003,Tenant dues by property,Financial,"Same as M.AR.001A/B, joined to tenant_allotments on allotment_id to bring in property_id, then GROUP BY property_id.","journal_lines, journal_entries, coa_accounts, tenant_allotments","F.006, F.007",None,Same as M.AR.001A/B,Same as M.AR.001A/B,SUM per property_id,"org=organization_id; property=property_id (via join, not native to the AR views); tenant/allotment=Aggregated away","Same as M.AR.001A/B (both conventions, total proven identical)",Same as M.AR.001A/B,Same as M.AR.001A/B,Same as M.AR.001A/B,C.001;C.002,DQ.002,SHOW_BOTH,Not separately validated (degenerate single-property case); underlying totals validated via AR.01/AR.02.,
M.DEP.001,Deposit held,Financial,"SUM(credit-debit) WHERE account_code='2100' AND party_kind='tenant', reversal-excluded.","journal_lines, journal_entries, coa_accounts",v_advance_balances (F.010),None,entry_date (not a filter for the current balance),account_code='2100' AND party_kind='tenant',"SUM(credit-debit) per tenant/allotment, or grand total","org=organization_id; property=Not carried directly; tenant/allotment=tenant_id, allotment_id",EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,Not applied.,"Ledger span for account 2100 activity, within 2019-11 to 2026-09; deposit_settlements table itself spans 2023-04 to 2026-09.",,DQ.011;DQ.012;DQ.035,SAFE,"F.010 v_advance_balances.deposit_held (validated: DEP.01, exact match Rs.4,221,150.00).",
M.DEP.002,Deposit settlements,Financial,"deposit_settlements table, live rows (NOT is_deleted), with status IN ('completed','approved') as the ledger-posting gate.",deposit_settlements,v_export_deposit_settlements (redundant wrapper),trg_settlement_journal_post (posting gate/orchestration; build_settlement_lines composition not exported),settlement_date,"NOT is_deleted; status IN ('completed','approved') for 'what actually posted to the ledger'","SUM(refund_amount), SUM(total_deductions), COUNT(*) by status","org=organization_id; property=Via tenant_allotments join; tenant/allotment=tenant_id, allotment_id","Ledger-side posting (via M.DEP.002's journal effect, not the source table itself) follows the standard reverse-and-repost mechanism on status transitions and amount edits (business_logic.md 5.1).","LIVE ROWS ONLY: is_deleted=false for the source total. Ledger side: hard-delete triggers a generic cascade-delete of the JE (business_logic.md 1.4), not a reversal.",v_deposit_ledger_anomalies (H.046) flags 'duplicate_open_settlement' as one of 3 anomaly types (of 22 total anomaly rows).,"2023-04-03 to 2026-09-20 (35 months, settlement_date).",C.016,DQ.008;DQ.012,DISCLOSE,"H.001 legacy_amount for deposit_settlements (validated: DEP.03, exact match Rs.5,085,959.33); ledger net (validated: DEP.04, exact match Rs.5,669,454.67, reproducing the Rs.583,495.34 gap exactly); entry_count=3 cluster size (validated: DEP.05, 38 vs H.050's 37).",
M.DEP.003,Deposit refunds,Financial,"SUM(deposit_settlements.refund_amount) WHERE NOT is_deleted (source) OR SUM(ledger credit on 11xx accounts, source_table='deposit_settlements') (ledger).",deposit_settlements; journal_lines/journal_entries/coa_accounts for the ledger side,None dedicated,trg_settlement_journal_post,settlement_date,NOT is_deleted,SUM(refund_amount),"org=organization_id; property=Via join; tenant/allotment=tenant_id, allotment_id",Source total: not applicable. Ledger total: reversal-included via sign-inversion netting (same construction as M.COL.003).,Live rows only (source); reversal-based on the ledger side.,Not separately assessed for refunds specifically (see M.DEP.002's duplicate_open_settlement anomaly).,Same as M.DEP.002 (2023-04 to 2026-09).,C.016,DQ.008,DISCLOSE,Identical figures to M.DEP.002's DEP.03/DEP.04 (refund_amount IS the field being reconciled there).,
M.EXP.001,"Expenses (total, ledger-derived)",Financial,"SUM(signed_amount) WHERE account_type='EXPENSE', reversal-excluded.","journal_lines, journal_entries, coa_accounts",v_pnl (F.001),None,entry_date,account_type='EXPENSE',SUM(signed_amount),org=organization_id; property=property_id (v_pnl grain); tenant/allotment=Not applicable,EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,Not applicable to the ledger total (source-level duplicates would need to be assessed on expenses table itself; no duplicate-expense diagnostic was exported).,"2023-03-11 to 2026-08-24 (35 months, expenses.expense_date) within the ledger's fuller 2019-2026 span (other expense sources, e.g. owner_payments, extend further back).",,DQ.033,SAFE,"F.001 v_pnl.expenses (validated: EXP.01, exact match Rs.20,784,831.96; monthly series in EXP.07, 0 mismatches).",
M.EXP.002,Expenses by category,Financial,"v_pnl_by_category's 9 hand-written account_code LIKE-pattern buckets, PLUS a required 10th 'electricity' bucket (account 5150, '515%' pattern) that the 9 named buckets do NOT capture.","journal_lines, journal_entries, coa_accounts","v_pnl_by_category (F.002); v_expense_composition (F.019, uses a DIFFERENT COA-parent-based rollup, not pattern-based)",None,entry_date,account_type='EXPENSE',SUM(signed_amount) per bucket,org=organization_id; property=property_id; tenant/allotment=Not applicable,"EXCLUDED (v_account_balances convention, same as M.EXP.001).",Same as M.EXP.001,Same as M.EXP.001,Same ledger span as M.EXP.001 (57 months with EXPENSE activity).,C.012;C.013;C.022,DQ.015;DQ.033;DQ.034,DISCLOSE,"F.002 v_pnl_by_category (validated: EXP.02 sum_of_buckets exact match Rs.19,754,213.96; EXP.03 electricity exact match Rs.1,030,618.00; EXP.04 proves the unbucketed==electricity identity exactly; EXP.05/EXP.06 cross-checked against H.017's 57-month totals, exact match).","Electricity must be added as its OWN category, not merged into utilities or any other bucket, per the brief's explicit instruction and the lack of any evidence supporting a different mapping."
M.OWN.001,Owner payments (source total),Financial,"SUM(COALESCE(escalated_amount, base_amount)) FROM owner_payments, status IN ('paid','pending') for the period-relevant subset, or all rows for an all-time total.",owner_payments,None dedicated,trg_owner_payment_journal_post (posting orchestration ONLY -- body NOT among the 25 exported; exact account/amount composition Not determinable from exported evidence),"bill_date (ledger-posting basis, per normalize_owner_payment_journal_dates) OR COALESCE(paid_date,due_date) (v_diag_owner_rent_missing_from_profit's basis) -- THESE TWO BASES DISAGREE at the monthly grain on 7 of 54 months even though they agree exactly on the all-time total (DQ.017).","status IN ('paid','pending') to match v_diag_owner_rent_missing_from_profit's convention; or none for a raw total",SUM(escalated_or_base),org=organization_id; property=Via owner_contracts/apartment_id join; tenant/allotment=Not applicable,"Not applicable at the source level. Ledger side: PROVEN PERFECT match to source (H.001, 0.00 diff) -- the only one of the 6 source-vs-ledger reconciliations in H.001 with zero drift.","owner_payments has NO is_deleted column in its exported schema -- all rows are 'live' by construction; deletion is hard-delete only (cascade-deletes the JE, business_logic.md 1.4/9.1).",Not assessed -- no duplicate-detection diagnostic exists for owner_payments.,"2022-11-01 to 2026-08-01 (46 months, bill_date).",,DQ.017;DQ.020,SAFE,"H.001 legacy_amount/je_net_amount for owner_payments (validated: OWNPAY.01/OWNPAY.02, both exact matches, Rs.19,019,250.00).",
M.OWN.002,"Owner rent (ledger bucket, 3 definitions)",Financial,"Def i (v1, EXCLUDES entirely): get_universal_metrics v1's totalProfit has NO owner_payments term at all. Def ii (ledger raw): v_pnl_by_category's owner_rent bucket ('510%' pattern), whatever is actually posted. Def iii (v2, SUBSTITUTED): get_universal_metrics_v2 explicitly discards the ledger's '510%' bucket for the period and replaces it with SUM(owner_payments.escalated_amount) filtered on bill_date.","journal_lines, journal_entries, coa_accounts, owner_payments","v_pnl_by_category (F.002, Def ii); v_diag_owner_rent_missing_from_profit (F.028, documents Def i's gap in its own text)","get_universal_metrics (Def i), get_universal_metrics_v2 (Def iii) -- both bodies fully exported",entry_date (Def ii); bill_date (Def iii),account_type='EXPENSE' AND code LIKE '510%' (Def ii); bill_date BETWEEN period (Def iii),SUM per definition,org=organization_id; property=property_id (Def ii only); tenant/allotment=Not applicable,"Def ii: EXCLUDED (v_account_balances convention). Def i/iii: not ledger-derived at the owner-rent-specific level (Def iii sources raw owner_payments, no reversal concept).",Def ii inherited via reversal exclusion; Def iii: owner_payments has no is_deleted column.,Not applicable.,"All-time total PROVEN IDENTICAL across Def ii and Def iii's underlying source (Rs.19,019,250.00, both H.030 and H.001). Monthly grain: 7 of 54 months differ (DQ.017) due to the bill_date-vs-paid_date/due_date basis mismatch between v_diag_owner_rent_missing_from_profit and the other two.",C.010;C.011,DQ.016;DQ.017;DQ.020,SHOW_BOTH,"H.030 pnl_owner_rent (validated: PROFIT.04, exact match Rs.19,019,250.00); F.028 owner_rent_paid_or_accrued (validated: PROFIT.03, exact match).",Owner-rent difference is the single most consequential profit-definition conflict in the package -- see M.PROFIT.001.
M.PROFIT.001,Gross/net profit (3 definitions),Financial,"Def A (ledger, v_pnl): revenue - expenses, both ledger-derived, whatever owner-rent amount the ledger happens to hold. Def B (get_universal_metrics v1): SUM(invoices.total_amount) - SUM(expenses.amount), ALL-TIME/period-scoped from application tables, NO owner_payments term. Def C (get_universal_metrics v2, owner-rent-inclusive): ledger revenue - (ledger expenses with the owner_rent bucket explicitly replaced by SUM(owner_payments.escalated_amount) for the period).","Def A: journal_lines/journal_entries/coa_accounts. Def B: invoices, expenses. Def C: journal_lines/journal_entries/coa_accounts + owner_payments.","v_pnl (F.001, Def A only)","get_universal_metrics (Def B), get_universal_metrics_v2 (Def C) -- both bodies fully exported","entry_date (Def A/C); COALESCE(billing_month,invoice_date,created_at) (Def B, invoices) / expense_date (Def B, expenses)","account_type IN ('INCOME','EXPENSE') (Def A); is_deleted=false on invoices (Def B)","revenue - expenses, per definition",org=organization_id; property=property_id (Def A/C); not natively carried in a simple Def B reconstruction; tenant/allotment=Not applicable,Def A/C: EXCLUDED (v_account_balances convention). Def B: NOT APPLICABLE -- never touches journal_entries at all; an invoice's ledger reversal has zero effect on Def B.,Def A/C: inherited via reversal exclusion. Def B: is_deleted=false on invoices; expenses has no is_deleted column (all rows live).,"Def B inherits invoices' 6.8% duplicate-row population (DQ.013) unless de-duplicated; Def A/C do not (ledger-level, not source-row-level).","All-time reconstruction spans the ledger's 2019-2026 window (Def A/C) or invoices/expenses' narrower 2023-2026 windows (Def B) -- Def B is NOT bounded by ledger availability and can include invoices dated beyond the ledger's last posted month (a Rs.749,371.40 / 1.06% gap was found between this pass's all-time Def-B reconstruction and H.030's ledger-bounded 54-month figure -- a scope difference, not a new defect).",C.010;C.011,DQ.016;DQ.017,BLOCK,"F.001 v_pnl.net_profit (validated: PROFIT.01, exact match Rs.51,920,761.47, Def A); H.030's profit_if_owner_rent_excluded (validated: PROFIT.05, exact match Rs.70,940,012 vs this pass's own Def-B reconstruction of Rs.71,689,383.40 -- 1.06% apart, explained by scope per above); overstatement percentage (validated: PROFIT.06, 36.63% reconstructed vs 36.6% in conflicts.md C.011, exact match).","BLOCK: never state a single profit figure without naming which definition it is. This is the highest-severity profit-related finding in the package (DQ.016, CRITICAL)."
M.PNL.001,P&L by month,Financial,"M.REV.002 and M.EXP.001's monthly reconstruction, joined at (property_id, month) grain, net_profit = revenue - expenses.","journal_lines, journal_entries, coa_accounts",v_pnl (F.001),None,"entry_date, truncated to month","account_type IN ('INCOME','EXPENSE')","SUM(signed_amount) per (property_id, month), split by account_type, net_profit = revenue-expenses","org=organization_id; property=property_id (required grain component, see M.REV.002); tenant/allotment=Not applicable",EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,Not applicable at the ledger layer.,"57 (property,month) rows / 53 distinct calendar months with INCOME activity; 57 distinct months with EXPENSE activity, spanning the ledger's 2019-11 to 2026-09 window (activity is NOT uniform across that full span -- see business_logic.md 9 for the actual per-domain coverage).",C.012;C.013,DQ.015;DQ.033,SAFE,"F.001 v_pnl, monthly rows (validated: REV.02/EXP.07 for the two halves; 0 VALUE mismatches across all 57 overlapping rows; monthly_validation/revenue_by_month.csv and expenses_by_month.csv).",
M.CASH.001,Cash balance,Financial,"SUM(signed_amount) WHERE account_code IN ('1110','1120'), reversal-excluded, all-time (a running balance, not period-scoped).","journal_lines, journal_entries, coa_accounts",v_org_cash_balance (F.011),None,entry_date (not a filter for the current balance -- this is a running total),"code IN ('1110','1120')","SUM(signed_amount), all postings to date",org=organization_id; property=Not carried on cash-account lines; tenant/allotment=Not applicable,EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,Not applicable.,"Full ledger span (2019-11 to 2026-09) -- this is a cumulative balance, not a period figure.",,,SAFE,"F.011 v_org_cash_balance (not independently re-validated in this pass's scripts -- same construction pattern as M.DEP.001, which IS validated exactly; recommend adding to a future validation pass).","Not directly exercised by scripts/validation/ in this pass -- same reconstruction pattern as DEP.01, high confidence by analogy but NOT independently confirmed. Flagged honestly rather than claimed as validated."
M.TB.001,Trial balance / accounting checks,Financial,"TWO views exist: v_trial_balance (reversal-excluded, only accounts with activity) and v_trial_balance_detailed (reversal-included via raw journal_lines, ALL 57 COA accounts including zero-activity ones via LEFT JOIN).","journal_lines, journal_entries, coa_accounts","v_trial_balance (F.012), v_trial_balance_detailed (F.013), v_account_rollup (F.014, adds parent/child COA rollup)",None,Not applicable (all-time balance),None (all accounts) or is_reversal_of IS NULL AND not-reversed (F.012's convention),"SUM(debit), SUM(credit), balance = debit-credit or credit-debit per normal_balance",org=organization_id; property=Not applicable at account grain; tenant/allotment=Not applicable,"BOTH conventions exist side by side and are BOTH exact -- F.012 (24 accounts with activity, reversal-excluded) and F.013 (57 accounts, all of COA, reversal-included) were independently reconstructed and BOTH matched their respective exported views exactly in this pass.",F.012 inherits reversal-based netting; F.013 does not filter at all (raw journal_lines).,Not applicable.,"Full ledger span, 2019-11 to 2026-09.",C.002,,SAFE,"F.012 v_trial_balance (validated: LEDGER.04, exact match, 24/24 accounts, 0 mismatches); F.013 v_trial_balance_detailed (validated: LEDGER.07, exact total_debit match Rs.217,212,447.24); H.007's 10-account reversal-effect set (validated: LEDGER.08, exact match).",The most thoroughly validated metric family in this deliverable -- 8 of 8 ledger-foundation checks (LEDGER.01-08) matched exactly.
