constraint_name,from_schema,from_table,from_column,to_schema,to_table,to_column,key_position,key_width,on_delete,on_update,relationship_kind
asset_movements_asset_id_fkey,public,asset_movements,asset_id,public,assets,id,1,1,CASCADE,NO ACTION,DECLARED
asset_movements_moved_by_fkey,public,asset_movements,moved_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_movements_organization_id_fkey,public,asset_movements,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_payments_asset_id_fkey,public,asset_payments,asset_id,public,assets,id,1,1,RESTRICT,NO ACTION,DECLARED
asset_payments_bank_account_id_fkey,public,asset_payments,bank_account_id,public,organization_bank_accounts,id,1,1,SET NULL,NO ACTION,DECLARED
asset_payments_organization_id_fkey,public,asset_payments,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
asset_payments_vendor_id_fkey,public,asset_payments,vendor_id,public,vendors,id,1,1,SET NULL,NO ACTION,DECLARED
asset_types_category_id_fkey,public,asset_types,category_id,public,asset_categories,id,1,1,CASCADE,NO ACTION,DECLARED
asset_types_organization_id_fkey,public,asset_types,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
fk_assets_apartment,public,assets,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
assets_asset_type_id_fkey,public,assets,asset_type_id,public,asset_types,id,1,1,NO ACTION,NO ACTION,DECLARED
assets_organization_id_fkey,public,assets,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
assets_supplier_id_fkey,public,assets,supplier_id,public,vendors,id,1,1,NO ACTION,NO ACTION,DECLARED
attendance_logs_company_id_fkey,public,attendance_logs,company_id,public,companies,id,1,1,SET NULL,NO ACTION,DECLARED
attendance_logs_edited_by_fkey,public,attendance_logs,edited_by,public,users,id,1,1,NO ACTION,NO ACTION,DECLARED
attendance_logs_employee_id_fkey,public,attendance_logs,employee_id,public,employees,id,1,1,CASCADE,NO ACTION,DECLARED
audit_logs_organization_id_fkey,public,audit_logs,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
bed_rates_organization_id_fkey,public,bed_rates,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
bed_rates_property_id_fkey,public,bed_rates,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
bed_status_history_bed_id_fkey,public,bed_status_history,bed_id,public,beds,id,1,1,CASCADE,NO ACTION,DECLARED
bed_status_history_organization_id_fkey,public,bed_status_history,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
bed_type_config_organization_id_fkey,public,bed_type_config,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
beds_apartment_id_fkey,public,beds,apartment_id,public,apartments,id,1,1,CASCADE,NO ACTION,DECLARED
beds_organization_id_fkey,public,beds,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
coa_accounts_organization_id_fkey,public,coa_accounts,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
coa_accounts_parent_id_fkey,public,coa_accounts,parent_id,public,coa_accounts,id,1,1,RESTRICT,NO ACTION,DECLARED
competitor_intelligence_competitor_id_fkey,market,competitor_intelligence,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_competitor_id_fkey,market,competitor_pricing_snapshots,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_organization_id_fkey,market,competitor_pricing_snapshots,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_competitor_id_fkey,market,competitor_pricing_snapshots_2026_05,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_organization_id_fkey,market,competitor_pricing_snapshots_2026_05,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_competitor_id_fkey,market,competitor_pricing_snapshots_2026_06,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_organization_id_fkey,market,competitor_pricing_snapshots_2026_06,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_competitor_id_fkey,market,competitor_pricing_snapshots_2026_07,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_organization_id_fkey,market,competitor_pricing_snapshots_2026_07,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_competitor_id_fkey,market,competitor_pricing_snapshots_2026_08,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_pricing_snapshots_organization_id_fkey,market,competitor_pricing_snapshots_2026_08,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_properties_locality_id_fkey,market,competitor_properties,locality_id,market,localities,id,1,1,NO ACTION,NO ACTION,DECLARED
competitor_properties_organization_id_fkey,market,competitor_properties,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_properties_source_id_fkey,market,competitor_properties,source_id,market,scrape_sources,id,1,1,NO ACTION,NO ACTION,DECLARED
competitor_reviews_competitor_id_fkey,market,competitor_reviews,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_reviews_organization_id_fkey,market,competitor_reviews,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_room_types_competitor_id_fkey,market,competitor_room_types,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
competitor_room_types_organization_id_fkey,market,competitor_room_types,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
cost_estimate_approvers_issue_type_id_fkey,public,cost_estimate_approvers,issue_type_id,public,issue_types,id,1,1,NO ACTION,NO ACTION,DECLARED
cost_estimate_approvers_organization_id_fkey,public,cost_estimate_approvers,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
cost_estimate_approvers_property_id_fkey,public,cost_estimate_approvers,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
departments_company_id_fkey,public,departments,company_id,public,companies,id,1,1,CASCADE,NO ACTION,DECLARED
deposit_settlements_allotment_id_fkey,public,deposit_settlements,allotment_id,public,tenant_allotments,id,1,1,NO ACTION,NO ACTION,DECLARED
deposit_settlements_organization_id_fkey,public,deposit_settlements,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
deposit_settlements_tenant_id_fkey,public,deposit_settlements,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
diagnostic_sessions_issue_type_id_fkey,public,diagnostic_sessions,issue_type_id,public,issue_types,id,1,1,NO ACTION,NO ACTION,DECLARED
diagnostic_sessions_organization_id_fkey,public,diagnostic_sessions,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
diagnostic_sessions_ticket_id_fkey,public,diagnostic_sessions,ticket_id,public,maintenance_tickets,id,1,1,CASCADE,NO ACTION,DECLARED
eb_payments_apartment_id_fkey,public,eb_payments,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
eb_payments_bank_account_id_fkey,public,eb_payments,bank_account_id,public,organization_bank_accounts,id,1,1,SET NULL,NO ACTION,DECLARED
eb_payments_organization_id_fkey,public,eb_payments,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
eb_payments_property_id_fkey,public,eb_payments,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
eb_rates_organization_id_fkey,public,eb_rates,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
eb_rates_property_id_fkey,public,eb_rates,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
eb_tenant_shares_apartment_id_fkey,public,eb_tenant_shares,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
eb_tenant_shares_invoice_id_fkey,public,eb_tenant_shares,invoice_id,public,invoices,id,1,1,CASCADE,NO ACTION,DECLARED
eb_tenant_shares_tenant_id_fkey,public,eb_tenant_shares,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
electricity_readings_apartment_id_fkey,public,electricity_readings,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
electricity_readings_organization_id_fkey,public,electricity_readings,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
electricity_readings_property_id_fkey,public,electricity_readings,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
electricity_shares_electricity_reading_id_fkey,public,electricity_shares,electricity_reading_id,public,electricity_readings,id,1,1,CASCADE,NO ACTION,DECLARED
electricity_shares_tenant_id_fkey,public,electricity_shares,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
email_templates_organization_id_fkey,public,email_templates,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
employee_specialties_user_id_fkey,public,employee_specialties,user_id,auth,users,id,1,1,CASCADE,NO ACTION,DECLARED
employees_company_id_fkey,public,employees,company_id,public,companies,id,1,1,SET NULL,NO ACTION,DECLARED
employees_department_id_fkey,public,employees,department_id,public,departments,id,1,1,NO ACTION,NO ACTION,DECLARED
employees_user_id_fkey,public,employees,user_id,public,users,id,1,1,NO ACTION,NO ACTION,DECLARED
exit_tasks_allotment_id_fkey,public,exit_tasks,allotment_id,public,tenant_allotments,id,1,1,NO ACTION,NO ACTION,DECLARED
exit_tasks_tenant_id_fkey,public,exit_tasks,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
expense_bed_allocations_bed_id_fkey,public,expense_bed_allocations,bed_id,public,beds,id,1,1,NO ACTION,NO ACTION,DECLARED
expense_bed_allocations_expense_id_fkey,public,expense_bed_allocations,expense_id,public,expenses,id,1,1,CASCADE,NO ACTION,DECLARED
expense_bed_allocations_organization_id_fkey,public,expense_bed_allocations,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
expense_categories_gl_account_id_fkey,public,expense_categories,gl_account_id,public,coa_accounts,id,1,1,NO ACTION,NO ACTION,DECLARED
expense_categories_new_organization_id_fkey,public,expense_categories,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
expense_subcategories_category_id_fkey,public,expense_subcategories,category_id,public,expense_categories,id,1,1,CASCADE,NO ACTION,DECLARED
expense_subcategories_gl_account_id_fkey,public,expense_subcategories,gl_account_id,public,coa_accounts,id,1,1,NO ACTION,NO ACTION,DECLARED
expense_subcategories_organization_id_fkey,public,expense_subcategories,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_apartment_id_fkey,public,expenses,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_asset_type_id_fkey,public,expenses,asset_type_id,public,asset_types,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_bank_account_id_fkey,public,expenses,bank_account_id,public,organization_bank_accounts,id,1,1,SET NULL,NO ACTION,DECLARED
expenses_bed_id_fkey,public,expenses,bed_id,public,beds,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_category_id_fkey,public,expenses,category_id,public,expense_categories,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_issue_type_id_fkey,public,expenses,issue_type_id,public,issue_types,id,1,1,SET NULL,NO ACTION,DECLARED
expenses_organization_id_fkey,public,expenses,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_property_id_fkey,public,expenses,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_related_asset_id_fkey,public,expenses,related_asset_id,public,assets,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_subcategory_id_fkey,public,expenses,subcategory_id,public,expense_subcategories,id,1,1,NO ACTION,NO ACTION,DECLARED
expenses_team_payment_id_fkey,public,expenses,team_payment_id,public,team_payments,id,1,1,CASCADE,NO ACTION,DECLARED
expenses_ticket_resolution_id_fkey,public,expenses,ticket_resolution_id,public,ticket_resolutions,id,1,1,CASCADE,NO ACTION,DECLARED
expenses_vendor_id_fkey,public,expenses,vendor_id,public,vendors,id,1,1,NO ACTION,NO ACTION,DECLARED
financial_audit_log_actor_user_id_fkey,public,financial_audit_log,actor_user_id,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
financial_audit_log_journal_entry_id_fkey,public,financial_audit_log,journal_entry_id,public,journal_entries,id,1,1,SET NULL,NO ACTION,DECLARED
gst_monthly_workings_generated_by_fkey,public,gst_monthly_workings,generated_by,public,profiles,id,1,1,SET NULL,NO ACTION,DECLARED
gst_monthly_workings_organization_id_fkey,public,gst_monthly_workings,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
invoice_line_items_invoice_id_fkey,public,invoice_line_items,invoice_id,public,invoices,id,1,1,CASCADE,NO ACTION,DECLARED
invoice_pdf_configs_organization_id_fkey,public,invoice_pdf_configs,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
invoices_allotment_id_fkey,public,invoices,allotment_id,public,tenant_allotments,id,1,1,SET NULL,NO ACTION,DECLARED
invoices_apartment_id_fkey,public,invoices,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
invoices_bed_id_fkey,public,invoices,bed_id,public,beds,id,1,1,NO ACTION,NO ACTION,DECLARED
invoices_organization_id_fkey,public,invoices,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
invoices_property_id_fkey,public,invoices,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
invoices_tenant_id_fkey,public,invoices,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
issue_sub_types_issue_type_id_fkey,public,issue_sub_types,issue_type_id,public,issue_types,id,1,1,CASCADE,NO ACTION,DECLARED
issue_sub_types_organization_id_fkey,public,issue_sub_types,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
issue_type_asset_types_asset_type_id_fkey,public,issue_type_asset_types,asset_type_id,public,asset_types,id,1,1,CASCADE,NO ACTION,DECLARED
issue_type_asset_types_issue_type_id_fkey,public,issue_type_asset_types,issue_type_id,public,issue_types,id,1,1,CASCADE,NO ACTION,DECLARED
issue_type_asset_types_organization_id_fkey,public,issue_type_asset_types,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
issue_type_expense_mapping_expense_category_id_fkey,public,issue_type_expense_mapping,expense_category_id,public,expense_categories,id,1,1,SET NULL,NO ACTION,DECLARED
issue_type_expense_mapping_expense_subcategory_id_fkey,public,issue_type_expense_mapping,expense_subcategory_id,public,expense_subcategories,id,1,1,SET NULL,NO ACTION,DECLARED
issue_type_expense_mapping_gl_account_id_fkey,public,issue_type_expense_mapping,gl_account_id,public,coa_accounts,id,1,1,RESTRICT,NO ACTION,DECLARED
issue_type_expense_mapping_issue_type_id_fkey,public,issue_type_expense_mapping,issue_type_id,public,issue_types,id,1,1,CASCADE,NO ACTION,DECLARED
issue_type_expense_mapping_organization_id_fkey,public,issue_type_expense_mapping,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
issue_types_organization_id_fkey,public,issue_types,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
journal_entries_is_reversal_of_fkey,public,journal_entries,is_reversal_of,public,journal_entries,id,1,1,RESTRICT,NO ACTION,DECLARED
journal_entries_organization_id_fkey,public,journal_entries,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
journal_entries_posted_by_fkey,public,journal_entries,posted_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
journal_lines_account_id_fkey,public,journal_lines,account_id,public,coa_accounts,id,1,1,RESTRICT,NO ACTION,DECLARED
journal_lines_allotment_id_fkey,public,journal_lines,allotment_id,public,tenant_allotments,id,1,1,RESTRICT,NO ACTION,DECLARED
journal_lines_apartment_id_fkey,public,journal_lines,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
journal_lines_bed_id_fkey,public,journal_lines,bed_id,public,beds,id,1,1,NO ACTION,NO ACTION,DECLARED
journal_lines_journal_entry_id_fkey,public,journal_lines,journal_entry_id,public,journal_entries,id,1,1,CASCADE,NO ACTION,DECLARED
journal_lines_property_id_fkey,public,journal_lines,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
ledger_entries_asset_id_fkey,public,ledger_entries,asset_id,public,assets,id,1,1,CASCADE,NO ACTION,DECLARED
lifecycle_config_organization_id_fkey,public,lifecycle_config,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
locality_market_metrics_locality_id_fkey,market,locality_market_metrics,locality_id,market,localities,id,1,1,NO ACTION,NO ACTION,DECLARED
locality_market_metrics_organization_id_fkey,market,locality_market_metrics,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_item_stock_entries_maintenance_item_id_fkey,public,maintenance_item_stock_entries,maintenance_item_id,public,maintenance_items,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_item_stock_entries_organization_id_fkey,public,maintenance_item_stock_entries,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_item_usage_maintenance_item_id_fkey,public,maintenance_item_usage,maintenance_item_id,public,maintenance_items,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_item_usage_maintenance_ticket_id_fkey,public,maintenance_item_usage,maintenance_ticket_id,public,maintenance_tickets,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_item_usage_organization_id_fkey,public,maintenance_item_usage,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_item_usage_stock_entry_id_fkey,public,maintenance_item_usage,stock_entry_id,public,maintenance_item_stock_entries,id,1,1,SET NULL,NO ACTION,DECLARED
maintenance_items_asset_type_id_fkey,public,maintenance_items,asset_type_id,public,asset_types,id,1,1,RESTRICT,NO ACTION,DECLARED
maintenance_items_issue_type_id_fkey,public,maintenance_items,issue_type_id,public,issue_types,id,1,1,SET NULL,NO ACTION,DECLARED
maintenance_items_organization_id_fkey,public,maintenance_items,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
maintenance_tickets_apartment_id_fkey,public,maintenance_tickets,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_asset_id_fkey,public,maintenance_tickets,asset_id,public,assets,id,1,1,SET NULL,NO ACTION,DECLARED
maintenance_tickets_assigned_to_fkey,public,maintenance_tickets,assigned_to,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_bed_id_fkey,public,maintenance_tickets,bed_id,public,beds,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_created_by_fkey,public,maintenance_tickets,created_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_issue_sub_type_id_fkey,public,maintenance_tickets,issue_sub_type_id,public,issue_sub_types,id,1,1,SET NULL,NO ACTION,DECLARED
maintenance_tickets_issue_type_id_fkey,public,maintenance_tickets,issue_type_id,public,issue_types,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_organization_id_fkey,public,maintenance_tickets,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_property_id_fkey,public,maintenance_tickets,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
maintenance_tickets_resolution_id_fkey,public,maintenance_tickets,resolution_id,public,ticket_resolutions,id,1,1,SET NULL,NO ACTION,DECLARED
maintenance_tickets_tenant_id_fkey,public,maintenance_tickets,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
offline_kyc_pending_allotment_id_fkey,public,offline_kyc_pending,allotment_id,public,tenant_allotments,id,1,1,CASCADE,NO ACTION,DECLARED
offline_kyc_pending_created_by_fkey,public,offline_kyc_pending,created_by,auth,users,id,1,1,SET NULL,NO ACTION,DECLARED
offline_kyc_pending_organization_id_fkey,public,offline_kyc_pending,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
offline_kyc_pending_tenant_id_fkey,public,offline_kyc_pending,tenant_id,public,tenants,id,1,1,CASCADE,NO ACTION,DECLARED
org_branding_settings_organization_id_fkey,public,org_branding_settings,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
org_email_settings_organization_id_fkey,public,org_email_settings,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
org_tracked_localities_locality_id_fkey,market,org_tracked_localities,locality_id,market,localities,id,1,1,CASCADE,NO ACTION,DECLARED
org_tracked_localities_organization_id_fkey,market,org_tracked_localities,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
org_whatsapp_settings_organization_id_fkey,public,org_whatsapp_settings,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
organization_bank_accounts_organization_id_fkey,public,organization_bank_accounts,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
organization_subscriptions_organization_id_fkey,public,organization_subscriptions,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
organization_subscriptions_plan_id_fkey,public,organization_subscriptions,plan_id,public,subscription_plans,id,1,1,NO ACTION,NO ACTION,DECLARED
owner_contracts_apartment_id_fkey,public,owner_contracts,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
owner_contracts_organization_id_fkey,public,owner_contracts,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
owner_contracts_owner_id_fkey,public,owner_contracts,owner_id,public,owners,id,1,1,CASCADE,NO ACTION,DECLARED
owner_contracts_property_id_fkey,public,owner_contracts,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
owner_payments_apartment_id_fkey,public,owner_payments,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
owner_payments_bank_account_id_fkey,public,owner_payments,bank_account_id,public,organization_bank_accounts,id,1,1,SET NULL,NO ACTION,DECLARED
owner_payments_contract_id_fkey,public,owner_payments,contract_id,public,owner_contracts,id,1,1,CASCADE,NO ACTION,DECLARED
owner_payments_organization_id_fkey,public,owner_payments,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
owner_payments_owner_id_fkey,public,owner_payments,owner_id,public,owners,id,1,1,CASCADE,NO ACTION,DECLARED
owners_organization_id_fkey,public,owners,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
payment_proofs_organization_id_fkey,public,payment_proofs,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
payment_proofs_tenant_id_fkey,public,payment_proofs,tenant_id,public,tenants,id,1,1,NO ACTION,NO ACTION,DECLARED
payroll_company_id_fkey,public,payroll,company_id,public,companies,id,1,1,SET NULL,NO ACTION,DECLARED
payroll_employee_id_fkey,public,payroll,employee_id,public,employees,id,1,1,CASCADE,NO ACTION,DECLARED
profiles_id_fkey,public,profiles,id,auth,users,id,1,1,CASCADE,NO ACTION,DECLARED
profiles_organization_id_fkey,public,profiles,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
properties_organization_id_fkey,public,properties,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
property_embeddings_competitor_id_fkey,market,property_embeddings,competitor_id,market,competitor_properties,id,1,1,CASCADE,NO ACTION,DECLARED
property_embeddings_organization_id_fkey,market,property_embeddings,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
property_images_organization_id_fkey,public,property_images,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
property_images_property_id_fkey,public,property_images,property_id,public,properties,id,1,1,CASCADE,NO ACTION,DECLARED
purchase_items_asset_type_id_fkey,public,purchase_items,asset_type_id,public,asset_types,id,1,1,NO ACTION,NO ACTION,DECLARED
purchase_items_purchase_order_id_fkey,public,purchase_items,purchase_order_id,public,purchase_orders,id,1,1,CASCADE,NO ACTION,DECLARED
purchase_orders_organization_id_fkey,public,purchase_orders,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
purchase_orders_vendor_id_fkey,public,purchase_orders,vendor_id,public,vendors,id,1,1,NO ACTION,NO ACTION,DECLARED
receipt_allocations_adjustment_id_fkey,public,receipt_allocations,adjustment_id,public,tenant_adjustments,id,1,1,RESTRICT,NO ACTION,DECLARED
receipt_allocations_allocated_by_fkey,public,receipt_allocations,allocated_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
receipt_allocations_invoice_id_fkey,public,receipt_allocations,invoice_id,public,invoices,id,1,1,RESTRICT,NO ACTION,DECLARED
receipt_allocations_organization_id_fkey,public,receipt_allocations,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
